year,region,gender,mortality
2021,Черкаська,Жінки,18.801721284342932
2005,Чернівецька,Жінки,13.146705564693834
2006,Чернівецька,Жінки,12.704720616570327
2007,Чернівецька,Жінки,12.622989361901334
2008,Чернівецька,Жінки,12.63533015869708
2009,Чернівецька,Жінки,12.239271607976276
2010,Чернівецька,Жінки,12.690810634916
2011,Чернівецька,Жінки,11.873499634693665
2012,Чернівецька,Жінки,12.091903473397187
2013,Чернівецька,Жінки,12.221300576468577
2014,Чернівецька,Жінки,12.441592190636426
2015,Чернівецька,Жінки,12.485672264624691
2016,Чернівецька,Жінки,12.428035616905959
2017,Чернівецька,Жінки,11.762324248628321
2018,Чернівецька,Жінки,11.874264132319203
2019,Чернівецька,Жінки,11.643858603995536
2020,Чернівецька,Жінки,13.364477131403682
2021,Чернівецька,Жінки,15.800895588749034
2005,Чернігівська,Жінки,19.639048527575483
2006,Чернігівська,Жінки,19.244434570655624
2007,Чернігівська,Жінки,19.239400042484476
2008,Чернігівська,Жінки,19.100465209635697
2009,Чернігівська,Жінки,18.754998492258071
2010,Чернігівська,Жінки,18.929461749335367
2011,Чернігівська,Жінки,18.011482718123897
2012,Чернігівська,Жінки,18.10912511759172
2013,Чернігівська,Жінки,17.978954138358066
2014,Чернігівська,Жінки,18.25280725962353
2015,Чернігівська,Жінки,18.226348664141156
2016,Чернігівська,Жінки,17.895198142447686
2017,Чернігівська,Жінки,17.470559104374612
2018,Чернігівська,Жінки,18.336156835744635
2019,Чернігівська,Жінки,17.644158959303649
2020,Чернігівська,Жінки,18.599441867410842
2021,Чернігівська,Жінки,20.9310916410135
2005,Автономна Республіка Крим,Чоловіки,18.063275255815892
2006,Автономна Республіка Крим,Чоловіки,17.773112725464742
2007,Автономна Республіка Крим,Чоловіки,18.22390703166268
2008,Автономна Республіка Крим,Чоловіки,17.849365347234986
2009,Автономна Республіка Крим,Чоловіки,16.003367484569416
2010,Автономна Республіка Крим,Чоловіки,15.816852092266645
2011,Автономна Республіка Крим,Чоловіки,15.25627343282915
2012,Автономна Республіка Крим,Чоловіки,14.868107122751521
2013,Автономна Республіка Крим,Чоловіки,14.790139609734679
2014,Автономна Республіка Крим,Чоловіки,
2015,Автономна Республіка Крим,Чоловіки,
2016,Автономна Республіка Крим,Чоловіки,
2017,Автономна Республіка Крим,Чоловіки,
2018,Автономна Республіка Крим,Чоловіки,
2019,Автономна Республіка Крим,Чоловіки,
2020,Автономна Республіка Крим,Чоловіки,
2021,Автономна Республіка Крим,Чоловіки,
2005,Вінницька,Чоловіки,19.304905908057162
2006,Вінницька,Чоловіки,18.239814037579904
2007,Вінницька,Чоловіки,18.776297106829759
2008,Вінницька,Чоловіки,18.1553788314667
2009,Вінницька,Чоловіки,16.646801800669632
2010,Вінницька,Чоловіки,16.27767310722723
2011,Вінницька,Чоловіки,15.642241925691676
2012,Вінницька,Чоловіки,15.785411502844477
2013,Вінницька,Чоловіки,15.981474798185582
2014,Вінницька,Чоловіки,16.2661762427329
2015,Вінницька,Чоловіки,16.383135794657125
2016,Вінницька,Чоловіки,15.922710770910099
2017,Вінницька,Чоловіки,15.576383584330969
2018,Вінницька,Чоловіки,16.155725540074439
2019,Вінницька,Чоловіки,16.174482455505917
2020,Вінницька,Чоловіки,17.37048953070213
2021,Вінницька,Чоловіки,18.730848925839105
2005,Волинська,Чоловіки,17.600924559006998
2006,Волинська,Чоловіки,16.706208798876947
2007,Волинська,Чоловіки,16.819018064032861
2008,Волинська,Чоловіки,17.06042698491903
2009,Волинська,Чоловіки,15.194145117906237
2010,Волинська,Чоловіки,14.883571397658445
2011,Волинська,Чоловіки,14.234172304285275
2012,Волинська,Чоловіки,14.065742772626406
2013,Волинська,Чоловіки,13.939658297137731
2014,Волинська,Чоловіки,14.035259809661605
2015,Волинська,Чоловіки,14.337575460923478
2016,Волинська,Чоловіки,13.729034153267429
2017,Волинська,Чоловіки,13.660002736084255
2018,Волинська,Чоловіки,14.152931021081097
2019,Волинська,Чоловіки,13.848517607576786
2020,Волинська,Чоловіки,15.065983159368374
2021,Волинська,Чоловіки,15.812328115630363
2005,Дніпропетровська,Чоловіки,20.113740694828039
2006,Дніпропетровська,Чоловіки,19.611448571464802
2007,Дніпропетровська,Чоловіки,20.049051975022739
2008,Дніпропетровська,Чоловіки,19.905221824895676
2009,Дніпропетровська,Чоловіки,18.108247905013414
2010,Дніпропетровська,Чоловіки,17.663955452872919
2011,Дніпропетровська,Чоловіки,17.003607901494888
2012,Дніпропетровська,Чоловіки,16.888480954566315
2013,Дніпропетровська,Чоловіки,16.906006734854028
2014,Дніпропетровська,Чоловіки,17.450229627540402
2015,Дніпропетровська,Чоловіки,17.640642586171406
2016,Дніпропетровська,Чоловіки,17.586759913784984
2017,Дніпропетровська,Чоловіки,16.834713353781762
2018,Дніпропетровська,Чоловіки,17.365345821423389
2019,Дніпропетровська,Чоловіки,17.032737912129228
